accession_number,accession_version,title,create_date,update_date,organism,country,lat,lon,collection_date
HM102314.1,HM102314.1,"Spodoptera frugiperda strain ATCC CRL-1711 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2010-05-15,2016-07-25,fall armyworm,USA,39.7837304,-100.4458825,NA
KJ641998.1,KJ641998.1,"Spodoptera frugiperda isolate 29 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2015-11-01,2015-11-01,fall armyworm,USA,39.7837304,-100.4458825,NA
KJ641997.1,KJ641997.1,"Spodoptera frugiperda isolate 9 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2015-11-01,2015-11-01,fall armyworm,USA,39.7837304,-100.4458825,NA
KF624877.1,KF624877.1,"Spodoptera frugiperda isolate corn Roraima-02 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2014-02-28,2014-07-07,fall armyworm,Brazil,-10.3333333,-53.2,NA
KF624876.1,KF624876.1,"Spodoptera frugiperda isolate corn Roraima-01 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial",2014-02-28,2014-07-07,fall armyworm,Brazil,-10.3333333,-53.2,NA
JQ559528.1,JQ559528.1,"Spodoptera frugiperda cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2012-02-13,2012-05-01,fall armyworm,"Costa Rica: Area de Conservacion Guanacaste, Sector Cacao, Estacion Gongora",10.887,-85.4744,10-Aug-2007
JQ554012.1,JQ554012.1,"Spodoptera frugiperda cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2012-02-13,2012-05-01,fall armyworm,"Costa Rica: Area de Conservacion Guanacaste, Sector Santa Rosa, Mirador Patos",10.821,-85.633,26-Dec-2008
JQ572603.1,JQ572603.1,"Spodoptera frugiperda cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2012-02-13,2012-05-01,fall armyworm,"Costa Rica: Area de Conservacion Guanacaste, Del Oro, Lote Serrano",11.0002,-85.4562,20-Oct-2006
JQ571459.1,JQ571459.1,"Spodoptera frugiperda cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2012-02-13,2012-05-01,fall armyworm,"Costa Rica: Area de Conservacion Guanacaste, Sector Del Oro, Serrano",11.0002,-85.4562,23-Aug-2006
JQ547900.1,JQ547900.1,"Spodoptera frugiperda cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2012-02-13,2012-05-01,fall armyworm,"Costa Rica: Area de Conservacion Guanacaste, Jabalina, Manta Pizote",10.973,-85.315,29-Mar-2008
JQ577923.1,JQ577923.1,"Spodoptera frugiperda cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2012-02-13,2012-05-01,fall armyworm,"Costa Rica: Area de Conservacion Guanacaste, Sector San Cristobal, Estacion San Gerardo",10.8801,-85.3889,29-Jan-2006
JF854747.1,JF854747.1,"Spodoptera frugiperda voucher MMZ0134 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2011-05-03,2012-07-10,fall armyworm,"Brazil: Parana, Serra do Mar, Estrada da Graciosa, Fazenda de cima",-25.3046,-48.9253,17-Mar-2010
JF854746.1,JF854746.1,"Spodoptera frugiperda voucher MMZ0133 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2011-05-03,2012-07-10,fall armyworm,"Brazil: Parana, Serra do Mar, Estrada da Graciosa, Xaxim",-25.3549,-48.8832,19-Apr-2010
JF854745.1,JF854745.1,"Spodoptera frugiperda voucher MMZ0132 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2011-05-03,2012-07-10,fall armyworm,"Brazil: Parana, Serra do Mar, Estrada da Graciosa, Chacara da Lola",-25.3914,-48.8611,16-Feb-2010
JF854744.1,JF854744.1,"Spodoptera frugiperda voucher MMZ0131 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2011-05-03,2012-07-10,fall armyworm,"Brazil: Parana, Serra do Mar, Estrada da Graciosa, Fazenda de cima",-25.3046,-48.9253,17-Mar-2010
JF854743.1,JF854743.1,"Spodoptera frugiperda voucher MMZ0130 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2011-05-03,2012-07-10,fall armyworm,"Brazil: Parana, Serra do Mar, Estrada da Graciosa, Pouzada Chacara Sta. Clara",-25.3999,-48.8715,16-Mar-2010
JF854741.1,JF854741.1,"Spodoptera frugiperda voucher MMZ0128 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2011-05-03,2012-07-10,fall armyworm,"Brazil: Parana, Serra do Mar, Estrada da Graciosa, Recanto Bela Vista",-25.3508,-48.8858,16-Mar-2010
JF854740.1,JF854740.1,"Spodoptera frugiperda voucher MMZ0127 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2011-05-03,2012-07-10,fall armyworm,"Brazil: Parana, Serra do Mar, Estrada da Graciosa, Recanto Bela Vista",-25.3508,-48.8858,16-Mar-2010
HQ964527.1,HQ964527.1,"Spodoptera frugiperda voucher BIOUG<CAN>:TDWG-0113 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2011-02-14,2012-03-06,fall armyworm,USA: Massachusetts,41.5288,-70.6702,29-Sep-2010
HQ964487.1,HQ964487.1,"Spodoptera frugiperda voucher BIOUG<CAN>:TDWG-0068 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2011-02-14,2012-03-06,fall armyworm,USA: Massachusetts,41.5299,-70.652,27-Sep-2010
HQ964486.1,HQ964486.1,"Spodoptera frugiperda voucher BIOUG<CAN>:TDWG-0067 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2011-02-14,2012-03-06,fall armyworm,USA: Massachusetts,41.5299,-70.652,27-Sep-2010
HQ964485.1,HQ964485.1,"Spodoptera frugiperda voucher BIOUG<CAN>:TDWG-0066 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2011-02-14,2012-03-06,fall armyworm,USA: Massachusetts,41.5299,-70.652,27-Sep-2010
HQ964443.1,HQ964443.1,"Spodoptera frugiperda voucher BIOUG<CAN>:TDWG-0016 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2011-02-14,2012-03-06,fall armyworm,USA: Massachusetts,41.5298,-70.6547,29-Sep-2010
HQ964442.1,HQ964442.1,"Spodoptera frugiperda voucher BIOUG<CAN>:TDWG-0015 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2011-02-14,2012-03-06,fall armyworm,USA: Massachusetts,41.5298,-70.6547,29-Sep-2010
HQ964441.1,HQ964441.1,"Spodoptera frugiperda voucher BIOUG<CAN>:TDWG-0014 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2011-02-14,2012-03-06,fall armyworm,USA: Massachusetts,41.5298,-70.6547,29-Sep-2010
HQ964440.1,HQ964440.1,"Spodoptera frugiperda voucher BIOUG<CAN>:TDWG-0013 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2011-02-14,2012-03-06,fall armyworm,USA: Massachusetts,41.5298,-70.6547,29-Sep-2010
HQ964439.1,HQ964439.1,"Spodoptera frugiperda voucher BIOUG<CAN>:TDWG-0012 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2011-02-14,2012-03-06,fall armyworm,USA: Massachusetts,41.5298,-70.6547,29-Sep-2010
HQ964394.1,HQ964394.1,"Spodoptera frugiperda voucher BIOUG<CAN>:10MA-0048 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial",2011-02-14,2012-03-06,fall armyworm,USA: Massachusetts,41.6305,-70.556,29-Sep-2010
